"code","description","record_type"
"F23.21","Гострий шизофреноподібний психотичний розлад, з зазначенням асоційованого гострого стресу","ICD10"
"M25.09","Гемартроз, локалізація неуточнена","ICD10"
"A22.9","Сибірка, неуточнена","ICD10"
"K60.2","Тріщина ануса, неуточнена","ICD10"
"S30.7","Множинні поверхневі травми живота, нижньої частини спини та таза","ICD10"
"H25.0","Початкова стареча катаракта","ICD10"
"S81.81","Відкрита рана (неуточненої частини гомілки), сполучена з переломом","ICD10"
"U07.3","Використання U07.3 в екстрених випадках","ICD10"
"K10.1","Гігантоклітинна гранульома, центральна","ICD10"
"E32.9","Хвороба загруднинної залози, неуточнена","ICD10"
"H50.2","Вертикальна косоокість","ICD10"
"X25.02","Контакт з Rhytidoponera metallica","ICD10"
"M66.24","Спонтанний розрив розгинаючих сухожилків, кисть","ICD10"
"S03.1","Вивих хрящової перегородки носа","ICD10"
"M83.57","Інша остеомаляція у дорослих, спричинена лікарськими засобами, ділянка гомілковостопного суглоба та стопи","ICD10"
"K29.50","Хронічний гастрит, неуточнений, без згадки про кровотечу","ICD10"
"M62.66","Розтягнення м'яза , гомілка","ICD10"
"D75.1","Вторинна поліцитемія","ICD10"
"M08.24","Ювенільний артрит з системним початком, кисть","ICD10"
"T83.85","Узурація сечостатевої сітки та інших протезних матеріалів","ICD10"
"F80.8","Інші розлади розвитку мовлення і мови","ICD10"
"M67.82","Інші уточнені ураження синовіальної оболонки та сухожилка, плече","ICD10"
"M54.01","Панікуліт, що уражає ділянку шиї та спини, ділянка потилиці, першого та другого шийних хребців","ICD10"
"N89.8","Інші уточнені незапальні хвороби піхви","ICD10"
"C54.8","Злоякісне ураження тіла матки, що охоплює кілька суміжних локалізацій","ICD10"
"D59.2","Медикаментозна неаутоімунна гемолітична анемія","ICD10"
"S10.98","Поверхнева травма неуточненої частини шиї, інша","ICD10"
"V41.41","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з велосипедом, Особа, травмована під час посадки або висадки, Всюдихідний чотириколісний автомобіль","ICD10"
"F16.01","Розлади психіки та поведінки внаслідок вживання галюциногенів, гостра інтоксикація, кетамін","ICD10"
"Y92.11","Центр утримання неповнолітніх злочинців","ICD10"
"L87.8","Інші трансепідермальні проривні порушення","ICD10"
"T34.3","Обмороження з некрозом тканин у ділянці черевної стінки живота, нижньої частини спини та таза","ICD10"
"H61.2","Сірчана пробка","ICD10"
"X91.09","Напад з повішенням, удавленням та задушенням з метою вбивства чи нанесення ушкодження, неуточнена особа","ICD10"
"Q89.05","Вроджена гіперплазія селезінки","ICD10"
"L89.00","Пролежень, стадія І, ділянка, не класифікована в інших рубриках","ICD10"
"M79.42","Гіпертрофія (піднадколінкового) жирового тіла, плече","ICD10"
"E75.3","Сфінголіпідоз, неуточнений","ICD10"
"D58.9","Спадкова гемолітична анемія, неуточнена","ICD10"
"M49.18","Бруцельозний спондиліт, крижовий та крижово-куприковий відділи (A23.- †)","ICD10"
"V70.7","Особа, яка знаходилася в автобусі, травмована при зіткненні з пішоходом або твариною, Особа, яка знаходилась ззовні на автобусі, травмована внаслідок дорожнього нещасного випадку","ICD10"
"M03.05","Постменінгококовий артрит (A39.8 †), ділянка таза та стегно","ICD10"
"E05.4","Тиреотоксикоз штучний","ICD10"
"T09.8","Інші уточнені травми тулуба, рівень неуточнений","ICD10"
"X92.25","Напад з зануренням у воду та утопленням у відкритій водоймі з метою вбивства чи нанесення ушкодження, представник органів влади","ICD10"
"M88.86","Ураження інших кісток при хворобі Педжета, гомілка","ICD10"
"F69","Неуточнений розлад особистості та поведінки у дорослому віці","ICD10"
"T83.1","Ускладнення механічного походження, пов'язане з іншими сечовими пристроями та імплантатами","ICD10"
"S03.2","Вивих зуба","ICD10"
"Y46.6","Інші та неуточнені протиепілептичні лікарські засоби","ICD10"
"D50.8","Інші залізодефіцитні анемії","ICD10"
"V76.1","Особа, яка знаходилася в автобусі, травмована при зіткненні з іншим немоторним транспортним засобом, Пасажир, травмований внаслідок не дорожнього нещасного випадку","ICD10"
"A07.3","Ізоспоріаз","ICD10"
"V20.90","Мотоцикліст, травмований при зіткненні з пішоходом або твариною, Мотоцикліст без додаткового уточнення, травмований внаслідок дорожнього нещасного випадку, Моторолер, мопед або моторизований велосипед","ICD10"
"M89.10","Передчасне зрощення епіфіза з діафізом, множинні локалізації","ICD10"
"Y90.7","Вміст алкоголю в крові 200-239 мг/100 мл","ICD10"
"X99.32","Напад з використанням скла, інший член родини","ICD10"
"F15.12","Розлади психіки та поведінки внаслідок вживання інших стимуляторів, включаючи кофеїн, згубне вживання , метилендіокси метамфетамін","ICD10"
"E09.31","Проміжна гіперглікемія з фоновою ретинопатією","ICD10"
"M24.95","Порушення суглоба, неуточнене, ділянка таза та стегно","ICD10"
"U09.9","Стан після COVID-19, неуточнений","ICD10"
"J20.7","Гострий бронхіт, спричинений еховірусом","ICD10"
"S36.23","Травма хвоста підшлункової залози","ICD10"
"T80.6","Інші реакції на сироватку","ICD10"
"V43.41","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з легковим автомобілем, вантажним автомобілем типу 'пікап' або фургоном, Особа, травмована під час посадки або висадки, Всюдихідний чотириколісний автомобіль","ICD10"
"M06.26","Ревматоїдний бурсит, гомілка","ICD10"
"Q28.1","Інші вади розвитку прецеребральних судин","ICD10"
"M71.52","Інший бурсит, не класифікований в інших рубриках, плече","ICD10"
"V72.0","Особа, яка знаходилася в автобусі, травмована при зіткненні з дво- або триколісним моторним транспортним засобом, Водій, травмований внаслідок не дорожнього нещасного випадку","ICD10"
"S01.31","Відкрита рана вушної раковини","ICD10"
"Y03.21","Напад шляхом іншої уточненої аварії моторного транспортного засобу, не дорожньої, один з батьків","ICD10"
"L66.8","Інша рубцева алопеція","ICD10"
"M67.38","Транзиторний синовіт, інші локалізації","ICD10"
"M86.99","Остеомієліт, неуточнений, локалізація неуточнена","ICD10"
"U83.4","Бронхоектатична хвороба, без зазначення про кістозний фіброз","ICD10"
"T85.73","Інфекція та запальні реакції, викликані шлунково-кишечними протезними пристроями, імплантатами та трансплантатами","ICD10"
"E10.42","Цукровий діабет типу 1 з діабетичною полінейропатією","ICD10"
"Q76.9","Вроджена вада розвитку кісток грудної клітки, неуточнена","ICD10"
"L99.0","Амілоїдоз шкіри (E85.- †)","ICD10"
"Q45.2","Вроджена кіста підшлункової залози","ICD10"
"Y73.1","Прилади для діагностики та лікування хвороб органів травлення та сечостатевої системи та пов'язані з ними випадкові ситуації, Терапевтичні (нехірургічні) реабілітаційні прилади та пристрої","ICD10"
"Y44.6","Нативна кров та продукти крові","ICD10"
"E88.3","Синдром лізису пухлини","ICD10"
"V46.68","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з іншим немоторним транспортним засобом, Пасажир, травмований внаслідок дорожнього нещасного випадку, інший уточнений легковий автомобіль [легковик]","ICD10"
"M49.57","Сплющений хребець при хворобах, класифікованих в інших рубриках, попереково-крижовий відділ","ICD10"
"V25.02","Мотоцикліст, травмований при зіткненні з поїздом чи іншим залізничним транспортним засобом, Мотоцикліст-водій, травмований внаслідок не дорожнього нещасного випадку, Мотоцикл, розроблений переважно для їзди не на дорогах","ICD10"
"M08.11","Ювенільний анкілозуючий спондиліт, ділянка плеча","ICD10"
"C00.0","Злоякісне новоутворення Зовнішньої поверхні верхньої губи","ICD10"
"M21.02","Вальгусна деформація, не класифікована в інших рубриках, плече","ICD10"
"S52.09","Інші та множинні переломи верхнього кінця ліктьової кістки","ICD10"
"E14.49","Неуточнений цукровий діабет з іншими уточненими неврологічними ускладненнями","ICD10"
"M72.68","Некротизуючий фасциїт , інші локалізації","ICD10"
"T16","Стороннє тіло у вусі","ICD10"
"R90.8","Інші відхилення від норми, виявлені при отриманні діагностичних зображень під час дослідження центральної нервової системи","ICD10"
"M20.5","Інші деформації пальця(ів) стопи (набуті)","ICD10"
"Y92.35","Ковзанка","ICD10"
"R89.9","Відхилення від норми, виявлені при дослідженні проб з інших органів, систем і тканин, Неуточнені відхилення від норми","ICD10"
"Z23.6","Необхідність імунізації тільки проти дифтерії","ICD10"
"W07.9","Падіння з неуточненого стільця","ICD10"
"E13.33","Інший уточнений цукровий діабет з проліферативною ретинопатією","ICD10"
"S69.7","Множинні травми зап'ястка та кисті","ICD10"
"Y56.0","Протигрибкові, протиінфекційні та протизапальні лікарські засоби місцевої дії, не класифіковані в інших рубриках","ICD10"
"N73.8","Інші уточнені запальні захворювання органів малого таза у жінок","ICD10"
"T74.0","Залишення без уваги або занедбаність","ICD10"
"Q51.82","Вроджена гіпоплазія шийки матки","ICD10"
"S37.1","Травма сечовода","ICD10"
"N00.5","Гострий нефритичний синдром, Дифузний мезангіокапілярний гломерулонефрит","ICD10"
"Q42.3","Вроджені відсутність, атрезія та стеноз заднього проходу без свища [нориці]","ICD10"
"M66.26","Спонтанний розрив розгинаючих сухожилків, гомілка","ICD10"
"M61.18","Прогресуючий осифікуючий міозит, інші локалізації","ICD10"
"N04.0","Нефротичний синдром, Незначні гломерулярні ушкодження","ICD10"
"P37.59","Інший кандидоз новонародженого","ICD10"
"M47.14","Інший спондильоз з мієлопатією, грудний відділ","ICD10"
"M02.38","Хвороба Рейтера, інші локалізації","ICD10"
"F10.3","Розлади психіки та поведінки внаслідок вживання алкоголю, синдром відміни","ICD10"
"T86.88","Невдала трансплантація та відторгнення трансплантованих органів та тканин, не класифіковані в інших рубриках","ICD10"
"V17.9","Велосипедист, травмований при зіткненні з нерухомим або стаціонарним об'єктом , Велосипедист без додаткового уточнення, травмований внаслідок дорожнього нещасного випадку","ICD10"
"Z72.5","Сексуальна поведінка з високим ступенем ризику","ICD10"
"Z88.1","В особистому анамнезі алергія на інші антибіотики","ICD10"
"M81.21","Остеопороз внаслідок знерухомлення, ділянка плеча","ICD10"
"M75.1","Синдром здавлення ротатора плеча","ICD10"
"L94.5","Пойкілодермія судинна атрофічна","ICD10"
"V23.51","Мотоцикліст, травмований при зіткненні з легковим автомобілем, вантажним автомобілем типу 'пікап' або фургоном, Мотоцикліст-пасажир, травмований внаслідок дорожнього нещасного випадку, Мотоцикл, розроблений переважно для їзди на дорогах","ICD10"
"M92.1","Ювенільний остеохондроз променевої та ліктьової кісток","ICD10"
"T86.83","Невдала трансплантація та відторгнення кишкового трансплантата","ICD10"
"T92.4","Наслідки травми нерва верхньої кінцівки","ICD10"
"F52.3","Оргазмічна дисфункція","ICD10"
"P74.29","Інші порушення натрієвого балансу у новонародженого","ICD10"
"N15.9","Тубулоінтерстиціальна хвороба нирок, неуточнена","ICD10"
"V44.23","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з важким вантажним транспортним засобом чи автобусом, Особа, яка знаходилась ззовні на транспортному засобі, травмована внаслідок не дорожнього нещасного випадку, Пасажирський міні-фургон","ICD10"
"C88.41","Екстранодальна В-клітинна лімфома маргінальної зони, що виникає з лімфоїдної тканини асоційованої зі слизовою оболонкою [MALT-лімфома], у стадії ремісії","ICD10"
"A66.6","Ушкодження кісток та суглобів при фрамбезії","ICD10"
"V74.0","Особа, яка знаходилася в автобусі, травмована при зіткненні з важким вантажним транспортним засобом чи автобусом, Водій, травмований внаслідок не дорожнього нещасного випадку","ICD10"
"P96.1","Симптоми медикаментозної абстиненції у новонародженого, зумовлені наркоманією матері","ICD10"
"M80.17","Остеопороз із патологічним переломом після оваріоектомії, ділянка гомілковостопного суглоба та стопи","ICD10"
"T37.3","Іншими антипротозойними препаратами","ICD10"
"C43.8","Злоякісна меланома шкіри, що охоплює кілька суміжних локалізацій","ICD10"
"G47.0","Порушення засинання та підтримання сну [безсоння]","ICD10"
"O34.9","Медична допомога матері при аномалії органів таза, неуточнена","ICD10"
"H66.0","Гострий гнійний середній отит","ICD10"
"J63.0","Алюміноз (легені)","ICD10"
"Y35.03","Ушкодження внаслідок передбаченого законом пострілу з вогнепальної зброї","ICD10"
"T34.7","Обмороження з некрозом тканин у ділянці коліна та гомілки","ICD10"
"E11.15","Цукровий діабет типу 2 з кетоацидозом, з лактацидозом, без коми","ICD10"
"E86","Виснаження об'єму рідин організму","ICD10"
"F93.3","Розлад сіблінгового суперництва","ICD10"
"W12","Падіння на будівельному риштуванні та з нього","ICD10"
"Y53.3","Сольові та осмотичні проносні лікарські засоби","ICD10"
"R12","Печія","ICD10"
"Q74.04","Променево-ліктьовий синостоз","ICD10"
"R29.6","Схильність до падіння, не класифікована в інших рубриках","ICD10"
"M00.21","Інший стрептококовий артрит і поліартрит, ділянка плеча","ICD10"
"V48.03","Особа, яка знаходилася в легковому автомобілі, травмована внаслідок транспортного нещасного випадку без зіткнення, Водій, травмований внаслідок не дорожнього нещасного випадку, Пасажирський міні-фургон","ICD10"
"T85.75","Інфекція та запальна реакція, викликані протезами та імплантатами молочної залози","ICD10"
"U07.7","Використання U07.7 в екстрених випадках","ICD10"
"V60.9","Особа, яка знаходилася у важкому вантажному транспортному засобі, травмована при зіткненні з пішоходом або твариною, Особа без додаткового уточнення, що знаходилась у важкому вантажному транспортному засобі, травмована внаслідок дорожнього нещасного випадку","ICD10"
"S32.3","Перелом клубової кістки","ICD10"
"V45.70","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з поїздом чи іншим залізничним транспортним засобом, Особа, яка знаходилась ззовні на транспортному засобі, травмована внаслідок дорожнього нещасного випадку, седан","ICD10"
"Y61.7","Під час видалення катетера чи тампона","ICD10"
"M63.32","Міозит при саркоїдозі (D86.8 †), плече","ICD10"
"D64.2","Вторинна сидеробластна анемія, спричинена лікарськими засобами або токсинами","ICD10"
"N32.9","Ураження сечового міхура, неуточнене","ICD10"
"T51.2","2-пропанолу","ICD10"
"M65.07","Абсцес піхви сухожилка, ділянка гомілковостопного суглоба та стопи","ICD10"
"D10.7","Доброякісне новоутворення Гортанної частини глотки","ICD10"
"E14.53","Неуточнений цукровий діабет з діабетичною кардіоміопатією","ICD10"
"Y36.0","Ушкодження внаслідок військових операцій з використанням вибуху військово-морської зброї","ICD10"
"Y03.52","Напад шляхом зіткнення легкового автомобіля з зафіксованим або стаціонарним об'єктом, дорожнього, інший член родини","ICD10"
"S56.8","Травма інших та неуточнених м'язів та сухожилків у ділянці передпліччя","ICD10"
"M48.96","Спондилопатія, неуточнена, поперековий відділ","ICD10"
"B22","Хвороба, зумовлена вірусом імунодефіциту людини [ВIЛ], з проявами інших уточнених хвороб","ICD10"
"M24.28","Ураження зв'язок, інші локалізації","ICD10"
"Z53.8","Процедура не проведена з інших причин","ICD10"
"Q89.12","Вроджена гіпоплазія надниркової залози","ICD10"
"Q32.3","Вроджений стеноз бронхів","ICD10"
"E30.8","Інші порушення статевого дозрівання","ICD10"
"Q03.9","Вроджена гідроцефалія, неуточнена","ICD10"
"J64","Неуточнений пневмоконіоз","ICD10"
"M54.95","Дорсалгія, неуточнена, попереково-грудний відділ","ICD10"
"C44.2","Злоякісне новоутворення Шкіри вуха та зовнішнього слухового ходу","ICD10"
"S22.2","Перелом грудини","ICD10"
"H50.4","Інші та неуточнені гетеротропії","ICD10"
"C92.81","Гострий мієлоцитарний лейкоз із мультилінійною дисплазією, у стадії ремісії","ICD10"
"T47.3","Сольовими та осмотичними проносними препаратами","ICD10"
"Q38.60","Вроджена вада розвитку рота, неуточнена","ICD10"
"M49.06","Туберкульоз хребта, поперековий відділ (A18.0 †)","ICD10"
"F15.19","Розлади психіки та поведінки внаслідок вживання інших стимуляторів, включаючи кофеїн, згубне вживання , інші уточнені стимулятори","ICD10"
"T31.92","Опіки із залученням 90% і більше поверхні тіла, 20-29%","ICD10"
"M84.22","Уповільнене зрощення перелому, плече","ICD10"
"V49.8","Особа [будь-яка], яка знаходилась у легковому автомобілі, травмована внаслідок інших уточнених транспортних нещасних випадків","ICD10"
"M07.00","Дистальна міжфалангова псоріатична артропатія (L40.5 †), множинні локалізації","ICD10"
"Z06.63","Резистентність до хінолону","ICD10"
"M42.11","Остеохондроз хребта у дорослих, ділянка потилиці, першого та другого шийних хребців","ICD10"
"H67.0","Середній отит при бактеріальних інфекціях, класифікованих в інших рубриках","ICD10"
"M02.24","Постімунізаційна артропатія, кисть","ICD10"
"M25.31","Інша нестабільність суглобів, ділянка плеча","ICD10"
"Q26.2","Тотальна аномалія сполучення легеневих вен","ICD10"
"T40.5","Кокаїном","ICD10"
"N93.9","Патологічна маткова та піхвова кровотеча, неуточнена","ICD10"
"M01.18","Туберкульозний артрит (A18.0 †), інші локалізації","ICD10"
"T49.7","Стоматологічними препаратами місцевої дії","ICD10"
"M90.04","Туберкульоз кісток (A18.0 †), кисть","ICD10"
"S11.22","Відкрита рана шийного відділу стравоходу","ICD10"
"S49.8","Інші уточнені травми плеча та плечового поясу","ICD10"
"C77.2","Вторинне та неуточнене злоякісне новоутворення Внутрішньочеревних лімфатичних вузлів","ICD10"
"V24.90","Мотоцикліст, травмований при зіткненні з важким вантажним транспортним засобом чи автобусом, Мотоцикліст без додаткового уточнення, травмований внаслідок дорожнього нещасного випадку, Моторолер, мопед або моторизований велосипед","ICD10"
"V86.39","Особа без додаткового уточнення, що знаходилась у всюдихідному або іншому моторному транспортному засобі, призначеному для позашляхового пересування, травмована внаслідок не дорожнього нещасного випадку, спеціальний всюдихідний інший моторний транспортний засіб, призначений для позашляхового пересування, з не уточненою кількістю коліс","ICD10"
"P80.8","Інша гіпотермія новонародженого","ICD10"
"Z71.9","Консультування, неуточнене","ICD10"
"M11.83","Інші уточнені кристалічні артропатії, передпліччя","ICD10"
"Z92.3","У особистому анамнезі опромінювання","ICD10"
"B52.8","Малярія, спричинена Plasmodium malariae, з іншими ускладненнями","ICD10"
"T31.54","Опіки із залученням 50-59% поверхні тіла, 40-49%","ICD10"
"V47.61","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з нерухомим або стаціонарним об'єктом, Пасажир, травмований внаслідок дорожнього нещасного випадку, Всюдихідний чотириколісний автомобіль","ICD10"
"Q15.9","Вроджена вада розвитку ока, неуточнена","ICD10"
"F12.2","Розлади психіки та поведінки внаслідок вживання канабіноїдiв, синдром залежності","ICD10"
"C95.90","Лейкоз, неуточнений, без згадки про ремісію","ICD10"
"J95.09","Дисфункція після трахеостомії, не класифікована в інших рубриках","ICD10"
"M21.11","Варусна деформація, не класифікована в інших рубриках, ділянка плеча","ICD10"
"M03.15","Постінфекційна артропатія при сифілісі, ділянка таза та стегно","ICD10"
"E89.8","Інші післяпроцедурні ендокринні порушення та порушення обміну речовин","ICD10"
"N82.0","Міхурово-вагінальний свищ [нориця]","ICD10"
"G83.89","Інші уточнені паралітичні синдроми","ICD10"
"W31.1","Контакт з металообробним устаткуванням","ICD10"
"M62.99","Ураження м'яза, неуточнене, локалізація неуточнена","ICD10"
"D48.7","Новоутворення невизначеного чи невідомого характеру Інших уточнених локалізацій","ICD10"
"T36.1","Цефалоспоринами та іншими бета-лактатними антибіотиками","ICD10"
"J11.8","Грип з іншими проявами, вірус не ідентифікований","ICD10"
"T10.1","Перелом верхньої кінцівки, рівень неуточнений, відкритий","ICD10"
"Q80.9","Вроджений іхтіоз, неуточнений","ICD10"
"M71.58","Інший бурсит, не класифікований в інших рубриках, інші локалізації","ICD10"
"P76.1","Транзиторний ілеус у новонародженого","ICD10"
"O98.8","Інші інфекційні та паразитарні хвороби матері під час вагітності, пологів та післяпологового періоду","ICD10"
"U56.30","Біг з подоланням перешкод","ICD10"
"D30.7","Доброякісне новоутворення Інших органів сечовидільної системи","ICD10"
"G56.2","Ураження ліктьового нерва","ICD10"
"M90.35","Остеонекроз при декомпресійній хворобі (T70.3 †), ділянка таза та стегно","ICD10"
"P70.4","Інша неонатальна гіпоглікемія","ICD10"
"S69.9","Неуточнена травма зап'ястка та кисті","ICD10"
"Q39.84","Вроджене зміщення стравоходу","ICD10"
"C50.1","Злоякісне новоутворення центральної частини грудної залози","ICD10"
"B03","Віспа (натуральна)","ICD10"
"M05.18","Ревматоїдна хвороба легені, інші локалізації","ICD10"
"Z91.5","У особистому анамнезі завдання собі шкоди","ICD10"
"Z30.4","Спостереження за застосуванням протизаплідних лікарських засобів","ICD10"
"Z27.4","Необхідність імунізації проти кору-епідемічного паротиту-краснухи [КПК]","ICD10"
"M07.44","Артропатія при хворобі Крона [регіонарному ентериті] (K50.- †), кисть","ICD10"
"Z55.0","Неписьменність чи низький рівень грамотності","ICD10"
"Y83.1","Хірургічна операція з імплантацією штучного внутрішнього пристрою","ICD10"
"T62.2","У іншій(их) спожитій(их) рослині(ах)","ICD10"
"O91.10","Абсцес молочної залози, пов'язаний з дітонародженням, без згадки про проблеми з прикладанням дитини до грудей","ICD10"
"T31.90","Опіки із залученням 90% і більше поверхні тіла, менше 10% або неуточнений","ICD10"
"O65.3","Пологи та розродження утруднені внаслідок звуження виходу та середньої площини порожнини таза","ICD10"
"T49.6","Засобами та препаратами, які застосовуються в оториноларингологічній практиці","ICD10"
"U55.9","Неуточнений вид спорту на льоду та на снігу","ICD10"
"M71.84","Інші уточнені бурсопатії, кисть","ICD10"
"B44.2","Тонзилярний аспергільоз","ICD10"
"C46.1","Саркома Капоші м'яких тканин","ICD10"
"M40.10","Інший вторинний кіфоз, множинні відділи хребта","ICD10"
"N07.2","Спадкова нефропатія, не класифікована в інших рубриках, Дифузний мембранозний гломерулонефрит","ICD10"
"C06.9","Злоякісне новоутворення неуточненої ділянки ротової порожнини","ICD10"
"V76.5","Особа, яка знаходилася в автобусі, травмована при зіткненні з іншим немоторним транспортним засобом, Водій, травмований внаслідок дорожнього нещасного випадку","ICD10"
"V28.90","Мотоцикліст, травмований внаслідок транспортного нещасного випадку без зіткнення, Мотоцикліст без додаткового уточнення, травмований внаслідок дорожнього нещасного випадку, Моторолер, мопед або моторизований велосипед","ICD10"
"Q05.42","Розщілина хребта з гідроцефалією, неуточнена, Закрита, cystica, вкрита шкірою або оболонкою","ICD10"
"M85.82","Інші уточнені порушення щільності та структури кістки, плече","ICD10"
"A20.2","Легенева чума","ICD10"
"Q38.33","Вроджене неправильне положення язика","ICD10"
"P77","Некротизуючий ентероколіт у плода та новонародженого","ICD10"
"H04.2","Епіфора","ICD10"
"C96.6","Гістіоцитоз з клітин Лангерганса із ураженням одного органа","ICD10"
"O12.0","Гестаційний набряк","ICD10"
"L74.9","Порушення екринного потовиділення, неуточнене","ICD10"
"Y03.47","Напад шляхом зіткнення легкового автомобіля з іншим моторним транспортним засобом, дорожнього, група осіб, невідомих жертві","ICD10"
"O21.0","Блювання вагітних","ICD10"
"C16.1","Злоякісне новоутворення Дна шлунка","ICD10"
"N19","Неуточнена ниркова недостатність","ICD10"
"L89.03","Пролежень, стадія І, верхня частина спини","ICD10"
"V68.4","Особа, яка знаходилася у важкому вантажному транспортному засобі, травмована внаслідок транспортного нещасного випадку без зіткнення, Особа, травмована під час посадки або висадки","ICD10"
"C31.1","Злоякісне новоутворення Решітчастої пазухи","ICD10"
"L42","Пітиріаз рожевий [пітиріаз Жибера]","ICD10"
"H44.4","Гіпотонія ока","ICD10"
"D07.4","Карцинома in situ Статевого члена","ICD10"
"S37.83","Травма сім'яного міхурця","ICD10"
"M79.22","Невралгія та неврит, неуточнені, плече","ICD10"
"T62.1","У спожитих ягодах","ICD10"
"W31.9","Контакт з неуточненими механізмами","ICD10"
"M54.94","Дорсалгія, неуточнена, грудний відділ","ICD10"
"C67.1","Злоякісне новоутворення Верхівки сечового міхура","ICD10"
"O16","Неуточнена материнська гіпертензія","ICD10"
"X92.91","Напад з зануренням у воду та утопленням у неуточненому водоймищі з метою вбивства чи нанесення ушкодження, один з батьків","ICD10"
"M23.41","Вільне тіло в передній хрестоподібній зв’язці або передньому розі медіального меніска","ICD10"
"Q69.29","Інший(і) додатковий(і) палець (пальці) стопи","ICD10"
"U54.51","Оздоровче плавання","ICD10"
"U66.02","Шосейні велоперегони","ICD10"
"U56.1","Біг підтюпцем та біг","ICD10"
"M19.92","Артроз, неуточнений, плече","ICD10"
"Y07.06","Інші форми неналежного поводження з метою вбивства чи нанесення ушкодження, особа, невідома жертві","ICD10"
"V74.1","Особа, яка знаходилася в автобусі, травмована при зіткненні з важким вантажним транспортним засобом чи автобусом, Пасажир, травмований внаслідок не дорожнього нещасного випадку","ICD10"
"T33.5","Поверхневе обмороження зап'ястка та кисті","ICD10"
"L73.0","Келоїдні вугри","ICD10"
"Q24.5","Аномалія розвитку коронарних судин","ICD10"
"F20.8","Інші види шизофренії","ICD10"
"D21.2","Інші доброякісні новоутворення Сполучної та інших м'яких тканин нижньої кінцівки, включаючи ділянку кульшового суглоба","ICD10"
"S20.83","Поверхневі травми інших та неуточнених частин грудної клітки, укус комахи","ICD10"
"M62.12","Інший розрив м'яза (нетравматичний), плече","ICD10"
"V86.00","Водій всюдихідного або іншого моторного транспортного засобу, призначеного для позашляхового пересування, травмований внаслідок дорожнього нещасного випадку, двоколісний всюдихідний або інший моторний транспортний засіб, призначений для позашляхового пересування","ICD10"
"X99.27","Напад з використанням голки для ін'єкцій та шприца, група осіб, невідомих жертві","ICD10"
"E14.15","Неуточнений цукровий діабет з кетоацидозом, з лактацидозом, без коми","ICD10"
"M47.99","Спондильоз, неуточнений, неуточнена локалізація","ICD10"
"T38.5","Іншими естрогенами та прогестинами","ICD10"
"D52.0","Фолієводефіцитна аліментарна анемія","ICD10"
"M82.80","Остеопороз при інших захворюваннях, класифікованих в інших рубриках, множинні локалізації","ICD10"
"S27.1","Травматичний гемоторакс","ICD10"
"Z25.0","Необхідність імунізації тільки проти епідемічного паротиту","ICD10"
"B92","Наслідки лепри","ICD10"
"M66.20","Спонтанний розрив розгинаючих сухожилків, множинні локалізації","ICD10"
"I65.8","Окклюзія та стеноз інших прецеребральних артерій","ICD10"
"M53.22","Нестабільність хребта, шийний відділ","ICD10"
"K71.0","Токсичне ураження печінки з холестазом","ICD10"
"S50.84","Травма передпліччя від поверхневого стороннього тіла (скабка)","ICD10"
"P92.9","Проблема вигодовування новонародженого, неуточнена","ICD10"
"T31.60","Опіки із залученням 60-69% поверхні тіла, менше 10% або неуточнений","ICD10"
"T24.2","Опік ділянки кульшового суглоба та нижньої кінцівки, за винятком гомілковостопного суглоба та стопи, часткової товщини [пухирі, втрата епідерміса]","ICD10"
"V36.1","Особа, яка знаходилася в триколісному моторному транспортному засобі, травмована при зіткненні з іншим немоторним транспортним засобом, Пасажир, травмований внаслідок не дорожнього нещасного випадку","ICD10"
"M48.26","Деформація остистих відростків хребців унаслідок тиску їх один на одного при поперековому лордозі [хвороба Бострупа], поперековий відділ","ICD10"
"C93.90","Моноцитарний лейкоз, неуточнений, без згадки про ремісію","ICD10"
