"code","description","record_type"
"V36.5","Особа, яка знаходилася в триколісному моторному транспортному засобі, травмована при зіткненні з іншим немоторним транспортним засобом, Водій, травмований внаслідок дорожнього нещасного випадку","ICD10"
"B39.3","Дисемінований гістоплазмоз, зумовлений Histoplasma capsulatum","ICD10"
"K45.0","Інші уточнені види грижі черевної порожнини з непрохідністю без гангрени","ICD10"
"X99.96","Напад з використанням неуточненого гострого предмета, особа, невідома жертві","ICD10"
"D35.0","Доброякісне новоутворення Наднирника","ICD10"
"K29.21","Алкогольний гастрит, з кровотечею","ICD10"
"E25.0","Вроджені адреногенітальні розлади, пов'язані з дефіцитом ферментів","ICD10"
"A49.9","Бактеріальна інфекція, неуточнена","ICD10"
"Q26.4","Аномалія сполучення легеневих вен, неуточнена","ICD10"
"M09.04","Ювенільний артрит при псоріазі (L40.5 †), кисть","ICD10"
"V86.32","Особа без додаткового уточнення, що знаходилась у всюдихідному або іншому моторному транспортному засобі, призначеному для позашляхового пересування, травмована внаслідок не дорожнього нещасного випадку, чотириколісний всюдихідний або інший моторний транспортний засіб, призначений для позашляхового пересування","ICD10"
"A54.3","Гонококова інфекція ока","ICD10"
"A16.1","Туберкульоз легень без проведення бактеріологічного та гістологічного дослідження","ICD10"
"E64.1","Наслідки дефіциту вітаміну А","ICD10"
"D28.0","Доброякісне новоутворення Вульви","ICD10"
"S55.1","Травма радіальної артерії у ділянці передпліччя","ICD10"
"Y03.26","Напад шляхом іншої уточненої аварії моторного транспортного засобу, не дорожньої, особа, невідома жертві","ICD10"
"E50.8","Інші прояви дефіциту вітаміну А","ICD10"
"M25.97","Ураження суглоба, неуточнене, ділянка гомілковостопного суглоба та стопи","ICD10"
"R79.0","Відхилення від норми вмісту мінеральних речовин у крові","ICD10"
"B27.9","Інфекційний мононуклеоз, неуточнений","ICD10"
"F19.9","Розлади психіки та поведінки внаслідок вживання декількох препаратів та інших психоактивних речовин, неуточнені розлади психіки та поведінки","ICD10"
"F43.1","Посттравматичний стресовий розлад","ICD10"
"M61.41","Інша кальцифікація м'язів, ділянка плеча","ICD10"
"O68.0","Пологи та розродження, ускладнені порушенням частоти серцебиття плода","ICD10"
"Z20.5","Контакт з хворим або можливість зараження вірусним гепатитом","ICD10"
"B44.0","Інвазивний легеневий аспергільоз","ICD10"
"Q79.84","Синдром Поланда","ICD10"
"Z62.0","Неадекватна турбота та контроль з боку батьків","ICD10"
"F12.5","Розлади психіки та поведінки внаслідок вживання канабіноїдiв, психотичний розлад","ICD10"
"Q89.79","Численні вроджені вади розвитку, не класифіковані в інших рубриках","ICD10"
"Z70.0","Консультації, що стосуються ставлення до сексуальних питань","ICD10"
"O71.82","Діастаз прямого м'яза живота під час вагітності або розродження","ICD10"
"C93.01","Гострий монобластний/моноцитарний лейкоз, у стадії ремісії","ICD10"
"S61.0","Відкрита рана пальця(ів) кисті без ушкодження нігтя","ICD10"
"M62.29","Ішемічний інфаркт м'яза, локалізація неуточнена","ICD10"
"R49.0","Дисфонія","ICD10"
"K46.0","Неуточнена грижа черевної порожнини з непрохідністю без гангрени","ICD10"
